Usage statistics from between 17:00 and 8:00 each day
,Collins (kWh),Main (kWh),DHB (kWh),Collins ($),Main ($),DHB ($)
2015-09-16,220.44000000000233,2532.0,264.7099999999991,35.27040000000037,405.12,42.35359999999986
2015-09-17,438.34000000000015,2809.0,234.76000000000204,70.13440000000003,449.44,37.561600000000325
2015-09-18,603.3000000000029,2393.0,160.88000000000102,96.52800000000047,382.88,25.740800000000164
2015-09-19,135.48999999999796,1807.0,157.23999999999796,21.678399999999673,289.12,25.158399999999673
2015-09-20,140.79000000000087,1903.0,186.29999999999927,22.52640000000014,304.48,29.807999999999883
2015-09-21,217.41999999999825,2198.0,252.01000000000204,34.78719999999972,351.68,40.32160000000032
2015-09-22,180.02999999999884,1900.0,196.20999999999913,28.804799999999815,304.0,31.39359999999986
2015-09-23,196.76000000000204,1848.0,210.61999999999898,31.481600000000327,295.68,33.699199999999834
2015-09-24,208.51000000000204,2001.0,217.40999999999985,33.36160000000033,320.16,34.78559999999998
2015-09-25,149.57999999999447,1583.0,163.3000000000029,23.932799999999116,253.28,26.128000000000466
2015-09-26,182.0,1529.0,157.23999999999796,29.12,244.64000000000001,25.158399999999673
2015-09-27,203.19000000000233,1777.0,195.96000000000276,32.510400000000374,284.32,31.353600000000444
2015-09-28,188.9300000000003,2635.0,266.8199999999997,30.228800000000046,421.6,42.69119999999995
2015-09-29,273.97000000000116,2698.0,226.27000000000044,43.835200000000185,431.68,36.20320000000007
2015-09-30,211.1600000000035,2240.0,205.52000000000044,33.78560000000056,358.40000000000003,32.88320000000007
2015-10-01,203.65999999999622,2253.0,244.52000000000044,32.585599999999395,360.48,39.12320000000007
2015-10-02,160.3399999999965,1750.0,158.90999999999985,25.65439999999944,280.0,25.425599999999978
2015-10-03,149.02999999999884,1601.0,147.34000000000015,23.844799999999815,256.16,23.574400000000022
2015-10-04,203.41999999999825,1937.0,184.04999999999927,32.54719999999972,309.92,29.447999999999883
2015-10-05,364.52999999999884,2448.0,213.65999999999985,58.32479999999981,391.68,34.18559999999998
2015-10-06,361.11999999999534,2394.0,212.90999999999985,57.77919999999926,383.04,34.065599999999975
2015-10-07,251.37000000000262,2191.0,219.09999999999854,40.21920000000042,350.56,35.05599999999977
2015-10-08,373.6200000000026,2447.0,218.70999999999913,59.77920000000042,391.52,34.99359999999986
2015-10-09,439.2900000000009,2202.0,145.11999999999898,70.28640000000014,352.32,23.219199999999837
2015-10-10,549.2799999999988,2088.0,138.95000000000073,87.88479999999981,334.08,22.232000000000117
2015-10-11,441.72000000000116,1985.0,138.36999999999898,70.67520000000019,317.6,22.13919999999984
2015-10-12,176.42000000000553,1894.0,175.62000000000262,28.227200000000884,303.04,28.09920000000042
2015-10-13,288.26000000000204,2402.0,212.77000000000044,46.12160000000033,384.32,34.04320000000007
2015-10-14,417.9400000000023,2640.0,202.88999999999942,66.87040000000037,422.40000000000003,32.46239999999991
2015-10-15,272.9499999999971,2523.0,211.7599999999984,43.671999999999535,403.68,33.88159999999974
2015-10-16,713.5800000000017,2522.0,172.6999999999971,114.17280000000028,403.52,27.631999999999536
2015-10-17,223.1800000000003,1933.0,170.95000000000437,35.708800000000046,309.28000000000003,27.3520000000007
2015-10-18,429.1200000000026,2610.0,213.02999999999884,68.65920000000042,417.6,34.08479999999982
2015-10-19,402.93999999999505,2543.0,225.12000000000262,64.47039999999922,406.88,36.01920000000042
2015-10-20,433.0199999999968,2571.0,223.6600000000035,69.2831999999995,411.36,35.78560000000056
2015-10-21,370.4800000000032,2364.0,213.34000000000378,59.27680000000051,378.24,34.1344000000006
2015-10-22,240.66999999999825,2205.0,212.40999999999622,38.50719999999972,352.8,33.985599999999394
