"Date / Time","Name Path Reference","Object Name","Object Value",
"02/16/2016 18:42:00","Town Of Andover:AHS-NAE1/FEC Bus2.MAIN ELECTRIC METER.Analog Inputs.Gas Meter.Cubic Feet of Gas (Trend1)","Gas Meter.Cubic Feet of Gas (Trend1)","198676 ",
"02/16/2016 17:02:00","Town Of Andover:AHS-NAE1/FEC Bus2.MAIN ELECTRIC METER.Analog Inputs.Gas Meter.Cubic Feet of Gas (Trend1)","Gas Meter.Cubic Feet of Gas (Trend1)","198676 ",
"02/16/2016 15:22:00","Town Of Andover:AHS-NAE1/FEC Bus2.MAIN ELECTRIC METER.Analog Inputs.Gas Meter.Cubic Feet of Gas (Trend1)","Gas Meter.Cubic Feet of Gas (Trend1)","198676 ",
"02/16/2016 13:42:00","Town Of Andover:AHS-NAE1/FEC Bus2.MAIN ELECTRIC METER.Analog Inputs.Gas Meter.Cubic Feet of Gas (Trend1)","Gas Meter.Cubic Feet of Gas (Trend1)","198676 ",
"02/16/2016 12:02:00","Town Of Andover:AHS-NAE1/FEC Bus2.MAIN ELECTRIC METER.Analog Inputs.Gas Meter.Cubic Feet of Gas (Trend1)","Gas Meter.Cubic Feet of Gas (Trend1)","198676 ",
"02/16/2016 10:22:00","Town Of Andover:AHS-NAE1/FEC Bus2.MAIN ELECTRIC METER.Analog Inputs.Gas Meter.Cubic Feet of Gas (Trend1)","Gas Meter.Cubic Feet of Gas (Trend1)","198674 ",
"02/16/2016 08:42:00","Town Of Andover:AHS-NAE1/FEC Bus2.MAIN ELECTRIC METER.Analog Inputs.Gas Meter.Cubic Feet of Gas (Trend1)","Gas Meter.Cubic Feet of Gas (Trend1)","198670 ",
"02/16/2016 07:02:00","Town Of Andover:AHS-NAE1/FEC Bus2.MAIN ELECTRIC METER.Analog Inputs.Gas Meter.Cubic Feet of Gas (Trend1)","Gas Meter.Cubic Feet of Gas (Trend1)","198667 ",
"02/16/2016 05:22:00","Town Of Andover:AHS-NAE1/FEC Bus2.MAIN ELECTRIC METER.Analog Inputs.Gas Meter.Cubic Feet of Gas (Trend1)","Gas Meter.Cubic Feet of Gas (Trend1)","198664 ",
"02/16/2016 03:42:00","Town Of Andover:AHS-NAE1/FEC Bus2.MAIN ELECTRIC METER.Analog Inputs.Gas Meter.Cubic Feet of Gas (Trend1)","Gas Meter.Cubic Feet of Gas (Trend1)","198661 ",
"02/16/2016 02:02:00","Town Of Andover:AHS-NAE1/FEC Bus2.MAIN ELECTRIC METER.Analog Inputs.Gas Meter.Cubic Feet of Gas (Trend1)","Gas Meter.Cubic Feet of Gas (Trend1)","198660 ",
